subject,relation,object,cat
番茄罗勒烤鸡胸,食谱的功效,补血,食谱的功效
Tomato Basil Roasted Chicken Breast,Health Benefit,Nourish Blood,Health Benefit
番茄罗勒烤鸡胸,食谱的功效,养心,食谱的功效
Tomato Basil Roasted Chicken Breast,Health Benefit,Nourish the Heart,Health Benefit
番茄罗勒烤鸡胸,食谱的功效,安神,食谱的功效
Tomato Basil Roasted Chicken Breast,Health Benefit,Calm the Mind,Health Benefit
番茄罗勒烤鸡胸,食谱的功效,定心,食谱的功效
Tomato Basil Roasted Chicken Breast,Health Benefit,Stabilize the Heart,Health Benefit
番茄罗勒烤鸡胸,食谱的食材构成,鸡胸肉,B1
Tomato Basil Roasted Chicken Breast,Ingredient,Chicken Breast,B1
番茄罗勒烤鸡胸,食谱的食材构成,番茄,A2
Tomato Basil Roasted Chicken Breast,Ingredient,Tomato,A2
番茄罗勒烤鸡胸,食谱的食材构成,新鲜罗勒,A2
Tomato Basil Roasted Chicken Breast,Ingredient,Fresh Basil,A2
番茄罗勒烤鸡胸,食谱的食材构成,橄榄油,D
Tomato Basil Roasted Chicken Breast,Ingredient,Olive Oil,D
番茄罗勒烤鸡胸,食谱的食材构成,盐,D
Tomato Basil Roasted Chicken Breast,Ingredient,Salt,D
番茄罗勒烤鸡胸,食谱的食材构成,黑胡椒,D
Tomato Basil Roasted Chicken Breast,Ingredient,Black Pepper,D
奶油蘑菇汤,食谱的功效,健脾,食谱的功效
Creamy Mushroom Soup,Health Benefit,Strengthen the Spleen,Health Benefit
奶油蘑菇汤,食谱的功效,安神,食谱的功效
Creamy Mushroom Soup,Health Benefit,Calm the Mind,Health Benefit
奶油蘑菇汤,食谱的功效,润燥,食谱的功效
Creamy Mushroom Soup,Health Benefit,Moisten Dryness,Health Benefit
奶油蘑菇汤,食谱的功效,养阴,食谱的功效
Creamy Mushroom Soup,Health Benefit,Nourish Yin,Health Benefit
奶油蘑菇汤,食谱的功效,补虚,食谱的功效
Creamy Mushroom Soup,Health Benefit,Tonify Deficiency,Health Benefit
奶油蘑菇汤,食谱的功效,养心,食谱的功效
Creamy Mushroom Soup,Health Benefit,Nourish the Heart,Health Benefit
奶油蘑菇汤,食谱的功效,润肺,食谱的功效
Creamy Mushroom Soup,Health Benefit,Moisten the Lungs,Health Benefit
奶油蘑菇汤,食谱的功效,调畅情志,食谱的功效
Creamy Mushroom Soup,Health Benefit,Regulate Emotions,Health Benefit
奶油蘑菇汤,食谱的功效,滋阴,食谱的功效
Creamy Mushroom Soup,Health Benefit,Nourish Yin,Health Benefit
奶油蘑菇汤,食谱的功效,缓解精神疲劳,食谱的功效
Creamy Mushroom Soup,Health Benefit,Relieve Mental Fatigue,Health Benefit
奶油蘑菇汤,食谱的功效,促进修复,食谱的功效
Creamy Mushroom Soup,Health Benefit,Promote Recovery,Health Benefit
奶油蘑菇汤,食谱的食材构成,蘑菇,A2
Creamy Mushroom Soup,Ingredient,Mushroom,A2
奶油蘑菇汤,食谱的食材构成,洋葱,A2
Creamy Mushroom Soup,Ingredient,Onion,A2
奶油蘑菇汤,食谱的食材构成,黄油,D
Creamy Mushroom Soup,Ingredient,Butter,D
奶油蘑菇汤,食谱的食材构成,面粉,D
Creamy Mushroom Soup,Ingredient,Flour,D
奶油蘑菇汤,食谱的食材构成,牛奶,B2
Creamy Mushroom Soup,Ingredient,Milk,B2
奶油蘑菇汤,食谱的食材构成,清水,D
Creamy Mushroom Soup,Ingredient,Water,D
奶油蘑菇汤,食谱的食材构成,盐,D
Creamy Mushroom Soup,Ingredient,Salt,D
奶油蘑菇汤,食谱的食材构成,黑胡椒,D
Creamy Mushroom Soup,Ingredient,Black Pepper,D
蔬菜芝士烤蛋,食谱的功效,滋阴,食谱的功效
Vegetable Cheese Baked Egg,Health Benefit,Nourish Yin,Health Benefit
蔬菜芝士烤蛋,食谱的功效,润肺,食谱的功效
Vegetable Cheese Baked Egg,Health Benefit,Moisten the Lungs,Health Benefit
蔬菜芝士烤蛋,食谱的功效,补益气血,食谱的功效
Vegetable Cheese Baked Egg,Health Benefit,Tonify Qi and Blood,Health Benefit
蔬菜芝士烤蛋,食谱的食材构成,鸡蛋,B2
Vegetable Cheese Baked Egg,Ingredient,Egg,B2
蔬菜芝士烤蛋,食谱的食材构成,甜椒,A2
Vegetable Cheese Baked Egg,Ingredient,Bell Pepper,A2
蔬菜芝士烤蛋,食谱的食材构成,西葫芦,A2
Vegetable Cheese Baked Egg,Ingredient,Zucchini,A2
蔬菜芝士烤蛋,食谱的食材构成,马苏里拉芝士,B2
Vegetable Cheese Baked Egg,Ingredient,Mozzarella Cheese,B2
蔬菜芝士烤蛋,食谱的食材构成,橄榄油,D
Vegetable Cheese Baked Egg,Ingredient,Olive Oil,D
蔬菜芝士烤蛋,食谱的食材构成,盐,D
Vegetable Cheese Baked Egg,Ingredient,Salt,D
蔬菜芝士烤蛋,食谱的食材构成,黑胡椒,D
Vegetable Cheese Baked Egg,Ingredient,Black Pepper,D
莴苣金枪鱼沙拉,食谱的功效,清热,食谱的功效
Lettuce Tuna Salad,Health Benefit,Clear Heat,Health Benefit
莴苣金枪鱼沙拉,食谱的功效,润燥,食谱的功效
Lettuce Tuna Salad,Health Benefit,Moisten Dryness,Health Benefit
莴苣金枪鱼沙拉,食谱的功效,安神,食谱的功效
Lettuce Tuna Salad,Health Benefit,Calm the Mind,Health Benefit
莴苣金枪鱼沙拉,食谱的功效,定心,食谱的功效
Lettuce Tuna Salad,Health Benefit,Stabilize the Heart,Health Benefit
莴苣金枪鱼沙拉,食谱的食材构成,金枪鱼罐头,B3
Lettuce Tuna Salad,Ingredient,Canned Tuna,B3
莴苣金枪鱼沙拉,食谱的食材构成,生菜,A2
Lettuce Tuna Salad,Ingredient,Lettuce,A2
莴苣金枪鱼沙拉,食谱的食材构成,小番茄,A2
Lettuce Tuna Salad,Ingredient,Cherry Tomato,A2
莴苣金枪鱼沙拉,食谱的食材构成,黑橄榄,A2
