subject,relation,object,cat
枸杞大枣粥,功效,补血益气,功效
枸杞大枣粥,功效,宁心安神,功效
枸杞大枣粥,食材构成,大米,A1
枸杞大枣粥,食材构成,枸杞,A3
枸杞大枣粥,食材构成,红枣,A3
枸杞大枣粥,食材构成,清水,D
莲子百合小米粥,功效,清心除烦,功效
莲子百合小米粥,功效,养血安神,功效
莲子百合小米粥,食材构成,小米,A1
莲子百合小米粥,食材构成,干莲子,A3
莲子百合小米粥,食材构成,干百合,A2
莲子百合小米粥,食材构成,清水,D
百合银耳羹,功效,润肺除躁,功效
百合银耳羹,功效,安神助眠,功效
百合银耳羹,食材构成,干百合,A2
百合银耳羹,食材构成,干银耳,A2
百合银耳羹,食材构成,冰糖,D
百合银耳羹,食材构成,清水,D
芡实粥,功效,健脾止泻,功效
芡实粥,功效,安神补气,功效
芡实粥,食材构成,大米,A1
芡实粥,食材构成,芡实,A3
芡实粥,食材构成,清水,D
芡实粥,食材构成,盐,D
桂圆红枣糯米粥,功效,补心脾,功效
桂圆红枣糯米粥,功效,养血安神,功效
桂圆红枣糯米粥,食材构成,糯米,A1
桂圆红枣糯米粥,食材构成,桂圆干,A3
桂圆红枣糯米粥,食材构成,红枣,A3
桂圆红枣糯米粥,食材构成,清水,D
山药枸杞粥,功效,健脾补肾,功效
山药枸杞粥,功效,宁神安眠,功效
山药枸杞粥,食材构成,大米,A1
山药枸杞粥,食材构成,山药,A1
山药枸杞粥,食材构成,枸杞,A3
山药枸杞粥,食材构成,清水,D
银耳莲子羹,功效,滋阴润燥,功效
银耳莲子羹,功效,安神除烦,功效
银耳莲子羹,食材构成,干银耳,A2
银耳莲子羹,食材构成,干莲子,A3
银耳莲子羹,食材构成,冰糖,D
银耳莲子羹,食材构成,清水,D
紫米百合粥,功效,补血养心,功效
紫米百合粥,功效,帮助安眠,功效
紫米百合粥,食材构成,紫米,A1
紫米百合粥,食材构成,干百合,A2
紫米百合粥,食材构成,清水,D
紫米百合粥,食材构成,冰糖,D
黑芝麻糊,功效,补肝肾,功效
黑芝麻糊,功效,养血安神,功效
黑芝麻糊,食材构成,黑芝麻,A3
黑芝麻糊,食材构成,大米,A1
黑芝麻糊,食材构成,清水,D
黑芝麻糊,食材构成,冰糖,D
黄芪党参鸡汤,功效,益气健脾,功效
黄芪党参鸡汤,功效,安神补虚,功效
黄芪党参鸡汤,食材构成,鸡腿肉,B1
黄芪党参鸡汤,食材构成,黄芪,D
黄芪党参鸡汤,食材构成,党参,D
黄芪党参鸡汤,食材构成,生姜,D
黄芪党参鸡汤,食材构成,清水,D
黄芪党参鸡汤,食材构成,盐,D
鸡蛋黄花菜汤,功效,清热安神,功效
鸡蛋黄花菜汤,功效,缓解烦躁,功效
鸡蛋黄花菜汤,食材构成,干黄花菜,A2
鸡蛋黄花菜汤,食材构成,鸡蛋,B2
鸡蛋黄花菜汤,食材构成,清水,D
鸡蛋黄花菜汤,食材构成,盐,D
鸡蛋黄花菜汤,食材构成,葱花,A2
